I sleep and you sleep,நான் தூங்குகிறேன் மற்றும் நீ தூங்குகிறாய்,நானும் நீயும் தூங்குகிறோம்,5,நான் மற்றும் நீ தூங்குகிறோம்,4,நான் தூங்குகிறேன் நீ தூங்குகிறாய்,1,நான் தூங்குகிறேன் நீயும் தூங்குகிறாய்,1,நான் தூங்குகிறேன் மற்றும் நீயும்,1,நாம் தூங்குகின்றோம்,1,
Jan efficiently repaired his bike and that Jan diligently cleaned his bike,செந்தில் தனது மிதிவண்டியை திறமையாக பழுதுபார்க்கிறார் மற்றும் செந்தில் தனது மிதிவண்டியை தீவிரமாக சுத்தம்செய்தார்,செந்தில் தனது மிதிவண்டியை திறமையாக பழுதுபார்க்கிறார் மற்றும் தீவிரமாக சுத்தம்செய்தார்,3,செந்தில் தனது மிதிவண்டியை திறமையாக பழுதுபார்க்கிறார் மற்றும் தீவிரமாக சுத்தம் செய்தார்,1,செந்தில் தனது மிதி வண்டியை திறமையாக பழுதுபார்க்கிறார் மற்றும் தீவிரமாக சுத்தம்செய்தார்,1,செந்தில் தனது மிதிவண்டியை திறமையாக பழுதுபார்க்கிறார் மற்றும் மிதிவண்டியை தீவிரமாக சுத்தம்செய்தார்,1,
Susi heard that Hans often steals bicycles and that Hans often sells bicycles,செந்தில் அடிக்கடி மிதிவண்டிகள் திருடுகிறார் மற்றும் செந்தில் அடிக்கடி மிதிவண்டிகளை விற்கிறார் என்றும் கவிதா கேள்விப்பட்டார்,செந்தில் அடிக்கடி மிதிவண்டிகளை திருடுகிறார் மற்றும் விற்கிறார் என்றும் கவிதா கேள்விப்பட்டார்,1,செந்தில் அடிக்கடி மிதிவண்டிகள் திருடுகிறார் மற்றும் அடிக்கடி விற்கிறார் என்று கவிதா கேள்விப்பட்டார்,1,செந்தில் அடிக்கடி மிதிவண்டிகள் திருடிகிறார் மற்றும் விற்கிறார் என்று கவிதா கேள்விப்பட்டார்,1,செந்தில் அடிக்கடி மிதிவண்டிகள் திருடுகிறார் மற்றும் மிதிவண்டிகளை விற்கிறார் என்று கவிதா கேள்விப்பட்டார்,1,செந்தில் அடிக்கடி மிதிவண்டிகள் திருடுகிறார் மற்றும் மிதிவண்டிகள் விற்கிறார் என்று கவிதா கேள்விப்பட்டார்,1,
Susi heard that Hans often steals bicycles and that Hans rarely sells bicycles,செந்தில் அடிக்கடி மிதிவண்டிகள் திருடுகிறார் மற்றும் செந்தில் அரிதாக மிதிவண்டிகளை விற்கிறார் என்றும் கவிதா கேள்விப்பட்டார்,செந்தில் அடிக்கடி மிதிவண்டிகள் திருடுகிறார் மற்றும் அரிதாக விற்கிறார் என்று கவிதா கேள்விப்பட்டார்,2,செந்தில் அடிக்கடி மிதிவண்டிகளை திருடி அரிதாக விற்கிறார் என்றும் கவிதா கேள்விப்பட்டார்,1,செந்தில் அடிக்கடி மிதிவண்டிகள் திருடுகிறார் மற்றும் அவற்றை அரிதாக விற்கிறார் என்று கவிதா கேள்விப்பட்டார்,1,செந்தில் அடிக்கடி மிதிவண்டிகள் திருடுகிறார் மற்றும் அரிதாக மிதிவண்டிகளை விற்கிறார் என்று கவிதா கேள்விப்பட்டார்,1,
Hans tries to steal cars and Peter tries to sell bicycles,செந்தில் கார்கள் திருட முயற்சிக்கிறார் மற்றும் செந்தில் மிதிவண்டிகள் விற்க முயற்சிக்கிறார்,செந்தில் கார்கள் திருட மற்றும் மிதிவண்டிகள் விற்க முயற்சிக்கிறார்,2,செந்தில் கார்களை திருடவும் மற்றும் மிதிவண்டிகளை விற்கவும் முயற்சிக்கிறார்,1,செந்தில் கார்கள் திருட மற்றும் விற்க முயற்சிக்கிறார்,1,செந்தில் கார்கள் திருடவும் மற்றும் விற்கவும் முயற்சிக்கிறார்,1,
Hans tries to steal cars and Peter tries to steal bicycles,செந்தில் கார்கள் திருட முயற்சிக்கிறார் மற்றும் ராஜேஷ் மிதிவண்டிகள் திருட முயற்சிக்கிறார்,செந்தில் கார்களையும் மற்றும் ராஜேஷ் மிதிவண்டிகளையும் திருட முயற்சிக்கிறார்கள்,2,செந்தில் கார்கள் மற்றும் ராஜேஷ் மிதிவண்டிகள் திருட முயற்சிக்கிறார்கள்,2,செந்தில் கார்கள் திருட மற்றும் ராஜேஷ் மிதிவண்டிகள் திருட முயற்சிக்கின்றனர்,1,
Hans tried to steal cars and Peter tried to steal bicycles,செந்தில் கார்கள் திருட முயன்றார் மற்றும் ராஜேஷ் மிதிவண்டிகள் திருட முயன்றார்,செந்தில் கார்களையும் மற்றும் ராஜேஷ் மிதிவண்டிகளையும் திருட முயன்றார்கள்,2,செந்தில் கார்கள் மற்றும் ராஜேஷ் மிதிவண்டிகள் திருட முயன்றார்கள்,1,செந்தில் கார்கள் மற்றும் ராஜேஷ் மிதிவண்டிகள் திருட முயன்றனர்,1,செந்தில் கார்கள் திருட மற்றும் ராஜேஷ் மிதிவண்டிகள் திருட முயன்றனர்,1,
I sing while Hans sleeps and you sing while Peter sleeps,செந்தில் தூங்கும் போது நான் பாடுகிறேன் மற்றும் ராஜேஷ் தூங்கும் போது நீ பாடுகிறாய்,செந்தில் மற்றும் ராஜேஷ் தூங்கும் போது நாம் பாடுகிறோம்,2,செந்தில் மாற்று ராஜேஷ் தூங்கும்போது நாம் பாடுகிறோம்,1,செந்தில் தூங்கும் போது நான் பாடுகிறேன் மற்றும் ராஜேஷ் தூங்கும் போது நீ பாடுகிறாய்,1,செந்தில் தூங்கும்போது நான் மற்றும் ராஜேஷ் தூங்கும்போது நீ பாடுகிறோம்,1,
I sing while Hans sleeps and you sing while Hans sleeps,செந்தில் தூங்கும் போது நான் பாடுகிறேன் மற்றும் செந்தில் தூங்கும் போது நீ பாடுகிறாய்,செந்தில் தூங்கும்போது நாம் பாடுகிறோம்,2,செந்தில் தூங்கும் போது நான் மற்றும் நீ பாடுகிறோம்,1,செந்தில் தூங்கும் போது நான் பாடுகிறேன் மற்றும் நீ,1,செந்தில் தூங்கும்போது நானும் நீயும் பாடுகிறோம்,1,செந்தில் தூங்கும் போது நாம் பாடுகிறோம்,1,
I see Hans sleeping in the car and you see Peter sleeping on the bus,காரின் உள்ளே செந்தில் தூங்குவதை நான் காண்கிறேன் மற்றும் பஸ்ஸின் உள்ளே ராஜேஷ் தூங்குவதை நீ காண்கிறாய்,காரின் உள்ளே செந்தில் தூங்குவதை நானும் மற்றும் பஸ்ஸின் உள்ளே ராஜேஷ் தூங்குவதை நீயும் காண்கிறோம்,3,காரின் உள்ளெ செந்திலும் மற்றும் பஸ்ஸின் உள்ளெ ராஜேஷ் தூங்குவதை நாம் காண்கிறோம்,1,காரின் உள்ளே செந்தில் தூங்குவதை நான் காண்கிறேன் மற்றும் பஸ்ஸின் உள்ளே ராஜேஷ் தூங்குவதை நீ காண்கிறாய்,1,
I see Hans sleeping in the car and you see Hans sleeping in the car,காரின் உள்ளே செந்தில் தூங்குவதை நான் காண்கிறேன் மற்றும் காரின் உள்ளே செந்தில் தூங்குவதை நீ காண்கிறாய்,காரின் உள்ளே செந்தில் தூங்குவதை நாம் காண்கின்றோம்,2,காரின் உள்ளே செந்தில் தூங்குவதை நாம் காண்கிறோம்,1,காரின் உள்ளே செந்தில் தூங்குவதை நான் மற்றும் நீ காண்கிறோம்,1,காரின் உள்ளே செந்தில் தூங்குவதை நான் காண்கிறேன் மற்றும் நீ,1,காரின் உள்ளே செந்தில் தூங்குவதை நான் மற்றும் நீ காண்கின்றோம்,1,காரின் உள்ளே செந்தில் தூங்குவதை நானும் நீயும் காண்கிறோம்,1,
I see Hans sleeping in the car and you see Hans sleeping on the bus,காரின் உள்ளே செந்தில் தூங்குவதை நான் காண்கிறேன் மற்றும் பஸ்ஸின் உள்ளே செந்தில் தூங்குவதை நீ காண்கிறாய்,காரின் உள்ளே செந்தில் தூங்குவதை நான் காண்கிறேன் மற்றும் பஸ்ஸின் உள்ளே செந்தில் தூங்குவதை நீ காண்கிறாய்,2,காரின் உள்ளே செந்தில் தூங்குவதை நானும் மற்றும் பஸ்ஸின் உள்ளே செந்தில் தூங்குவதை நீயும் காண்கிறோம்,1,கார் மற்றும் பஸ்ஸின் உள்ளே செந்தில் தூங்குவதை நான் மற்றும் நீ காண்கின்றோம்,1,
I see Hans sleeping in the car and Hans sleeping on the bus,செந்தில் காரின் உள்ளே தூங்குவதை மற்றும் செந்தில் பஸ்ஸின் மேலே தூங்குவதை நான் காண்கிறேன்,செந்தில் காரின் உள்ளே மற்றும் பஸ்ஸின் மேலே தூங்குவதை நான் காண்கிறேன்,3,செந்தில் காரின் மற்றும் பஸ்ஸின் உள்ளே தூங்குவதை நான் காண்கிறேன்,1,
I hope that Hans sleeps and that Peter sleeps,செந்தில் தூங்குகிறார் மற்றும் ராஜேஷ் தூங்குகிறார் என்று நான் நம்புகிறேன்,செந்தில் மற்றும் ராஜேஷ் தூங்குகிறார் என்று நான் நம்புகிறேன்,4,செந்தில் மற்றும் ராஜேஷ் தூங்குகிறார்கள் என்று நான் நம்புகிறேன்,1,
I want to hope that Hans sleeps and you want to hope that Peter sleeps,செந்தில் தூங்குகிறார் என்று நம்ப நான் விரும்புகிறேன் மற்றும் ராஜேஷ் தூங்குகிறார் என்று நம்ப நீ விரும்புகிறாய்,செந்தில் தூங்குகிறார் என்று நம்ப நானும் மற்றும் ராஜேஷ் தூங்குகிறார் என்று நம்ப நீயும் விரும்புகிறோம்,2,செந்தில் மற்றும் ராஜேஷ் தூங்குகிறார் என்று நம்ப நாம் விரும்புகிறோம்,1,செந்தில் தூங்குகிறார் என்றும் நானும் மற்றும் ராஜேஷ் தூங்குகிறார் என்று நீயும் நம்ப விரும்புகிறோம்,1,செந்தில் மற்றும் ராஜேஷ் தூங்குகிறார்கல் என்று நம்ப நாம் விரும்புகிறோம்,1,
that Hans eats apples and that Maria eats pears Everyone knows and that Peter drinks wine and that Susi drinks beer  nobody knows,செந்தில் மாங்காய் சாப்பிடுகிறார் மற்றும் லதா நெல்லிக்காய் சாப்பிடுகிறார் என்று அனைவரும் அறிந்திருக்கிறார்கள் மற்றும் ராஜேஷ் மது குடிக்கிறார் மற்றும் சுதா பீர் குடிக்கிறார் என்று யாரும் அறியவில்லை,செந்தில் மாங்காய் மற்றும் லதா நெல்லிக்காய் சாப்பிடுகிறார்கள் என்று அனைவரும் அறிந்திருக்கிறார்கள் மற்றும் ராஜேஷ் மது மற்றும் சுதா பீர் குடிக்கிறார்கள் என்று யாரும் அறியவில்லை,2,செந்தில் மாங்காய்கள் மற்றும் லதா நெல்லிக்காய்கள் சாப்பிடுகிறார் என்று அனைவரும் அறிந்திருக்கிறார்கள் ஆனால் ராஜேஷ் மது மற்றும் சுதா பீர் குடிக்கிறார் என்று யாரும் அறியவில்லை,1,செந்தில் மாங்காய் மற்றும் லதா நெல்லிக்காய் சாப்பிடுகிறார் என்று அனைவரும் அறிந்திருக்கிறார்கள் மற்றும் ராஜேஷ் மது மற்றும் சுதா பீர் குடிக்கிறார் என்று யாரும் அறியவில்லை,1,செந்தில் மாங்காய் மற்றும் சுதா நெல்லிக்காய் சாப்பிடுகிறார்கள் என்று அனைவரும் அறிந்திருக்கிறார்கள் மற்றும் ராஜேஷ் மது மற்றும் சுதா பீர் குடிக்கிறார்கள் என்று யாரும் அறியவில்லை,1,
that Hans eats apples Everyone knows and that Hans eats pears nobody knows,செந்தில் மாங்காய்கள் சாப்பிடுகிறார் என்று அனைவரும் அறிந்திருக்கிறார்கள் மற்றும் செந்தில் நெல்லிக்காய்கள் சாப்பிடுகிறார் என்று யாரும் அறியவில்லை,செந்தில் மாங்காய்கள் சாப்பிடுகிறார் என்று அனைவரும் அறிந்திருக்கிறார்கள் மற்றும் நெல்லிக்காய்கள் சாப்பிடுகிறார் என்று யாரும் அறியவில்லை,2,செந்தில் மாங்காய்கள் சாப்பிடுகிறார் என்று அனைவரும் அறிந்திருக்கிறார்கள் மற்றும் நெல்லிக்காய்களை சாப்பிடுகிறார் என்று யாரும் அறியவில்லை,1,
Nobody knows that Hans wants to eat apples and that Maria knows how to eat pears and that Peter wants to drink wine and wants to drink Susi Biert,செந்தில் மாங்காய்கள் சாப்பிட விரும்புகிறார் மற்றும் லதா நெல்லிக்காய்கள் சாப்பிட விரும்புகிறார் என்று அனைவரும் அறிந்திருக்கிறார்கள் மற்றும் ராஜேஷ் மது குடிக்க விரும்புகிறார் மற்றும் சுதா பீர் குடிக்க விரும்புகிறார் என்று யாரும் அறியவில்லை,செந்தில் மாங்காய்கள் மற்றும் லதா நெல்லிக்காய்கள் சாப்பிட விரும்புகிறார் என்று அனைவரும் அறிந்திருக்கிறார்கள் மற்றும் ராஜேஷ் மது மற்றும் சுதா பீர் குடிக்க விரும்புகிறார் என்று யாரும் அறியவில்லை,2,செந்தில் மாங்காய்கள் மற்றும் லதா நெல்லிக்காய்கள் சாப்பிட விரும்புகிறார்கள் என்று அனைவரும் அறிந்திருக்கிறார்கள் மற்றும் ராஜேஷ் மது மற்றும் சுதா பீர் குடிக்க விரும்புகிறார்கள் என்று யாரும் அறியவில்லை,1,செந்தில் மாங்காய்கள் மற்றும் லதா நெல்லிக்காய்களை சாப்பிட விரும்புகிறார்கள் என்று அனைவரும் அறிந்திருக்கிறார்கள் மற்றும் ராஜேஷ் மது மற்றும் சுதா பீர் குடிக்க விரும்புகிறார் என்று யாரும் அறியவில்லை,1,
that Hans had an accident and that Hans could die Susi heard ,செந்தில் அவர்களுக்கு ஒரு விபத்து ஏற்பட்டது என்றும் செந்தில் இறக்க கூடும் என்றும் சுதா கேள்விப்பட்டார்,செந்திலுக்கு ஒரு விபத்து ஏற்பட்டது என்றும் இறக்க கூடும் என்றும் சுதா கேள்விப்பட்டார்,2,செந்தில் அவர்களுக்கு ஒரு விபத்து ஏற்பட்டது என்றும் இறக்க கூடும் என்றும் சுதா கேள்விப்பட்டார்,1,செந்தில் அவர்களுக்கு ஒரு விபத்து ஏற்பட்டு இறக்க கூடும் என்று சுதா கேள்விப்பட்டார்,1,செந்தில் அவர்களுக்கு ஒரு விபத்து ஏற்பட்டது மற்றும் அவர் இறக்க கூடும் என்று சுதா கேள்விப்பட்டார்,1,
Susi heard that Hans had an accident and that Hans could die,சுதா கேள்விப்பட்டது என்னவென்றால் செந்தில் அவர்களுக்கு ஒரு விபத்து ஏற்பட்டது என்றும் செந்தில் இறக்க கூடும் என்றும்,சுதா கேள்விப்பட்டார் செந்திலுக்கு ஒரு விபத்து ஏற்பட்டது என்றும் இறக்க கூடும் என்றும்,2,சுதா கேள்விப்பட்டது என்னவென்றால் செந்தில் அவர்களுக்கு ஒரு விபத்து ஏற்பட்டது மற்றும் இறக்க கூடும் என்று,1,சுதா கேள்விப்பட்டது என்னவென்றால் செந்தில் அவர்களுக்கு ஒரு விபத்து ஏற்பட்டது என்றும் மற்றும் இறக்க கூடும் என்றும்,1,சுதா கேள்விப்பட்டது என்னவென்றால் செந்தில் அவர்களுக்கு ஒரு விபத்து ஏற்பட்டது என்றும் மற்றும் செந்தில் இறக்க கூடும் என்றும்,1,
Susi heard that Hans was lucky and that Peter was unlucky,சுதா கேள்விப்பட்டது செந்தில் அதிர்ஷ்டம் கொண்டவர் என்றும் ராஜேஷ் துரதிருஷ்டம் கொண்டவர் என்றும்,சுதா கேள்விப்பட்டது செந்தில் அதிர்ஷ்டம் மற்றும் ராஜேஷ் துரதிருஷ்டம் கொண்டவர்கள் என்று,1,சுதா கேள்விப்பட்டது செந்தில் அதிர்ஷ்டம் கொண்டவர் என்றும் மற்றும் ராஜேஷ் துரதிருஷ்டம் கொண்டவர் என்றும்,1,சுதா கேள்விப்பட்டது செந்தில் அதிர்ஷ்டம் கொண்டவர் மற்றும் ராஜேஷ் துரதிருஷ்டம் கொண்டவர் என்று,1,
Hans peels apples in the car and Peter eats apples in the car,காரின் உள்ளே செந்தில் மாங்காய்கள் உரிக்கிறார் மற்றும் காரின் உள்ளே ராஜேஷ் மாங்காய்கள் சாப்பிடுகிறார்,காரின் உள்ளே செந்தில் மாங்காய்கள் உரிக்கிறார் மற்றும் ராஜேஷ் சாப்பிடுகிறார்,3,காரின் உள்ளே செந்தில் மாங்காய்கள் உரிக்கிறார் மற்றும் ராஜேஷ் மாங்காய்கள் சாப்பிடுகிறார்,3,
I hope Hans eats apples and Peter eats pears,செந்தில் மாங்காய்கள் சாப்பிடுகிறார் மற்றும் ராஜேஷ் நெல்லிக்காய்கள் சாப்பிடுகிறார் என்று நான் நம்புகிறேன்,செந்தில் மாங்காய்கள் மற்றும் ராஜேஷ் நெல்லிக்காய்கள் சாப்பிடுகிறார் என்று நான் நம்புகிறேன்,2,செந்தில் மாங்காய்களையும் மற்றும் ராஜேஷ் நெல்லிக்காய்களையும் சாப்பிடுகிறார் என்று நான் நம்புகிறேன்,1,செந்தில் மாங்காய்கள் மற்றும் ராஜேஷ் நெல்லிக்காய்கள் சாப்பிடுகிறார்கள் என்று நான் நம்புகிறேன்,1,
I hope Hans eats and Peter eats,செந்தில் சாப்பிடுகிறார் மற்றும் ராஜேஷ் சாப்பிடுகிறார் என்று நான் நம்புகிறேன்,செந்தில் மற்றும் ராஜேஷ் சாப்பிடுகிறார் என்று நான் நம்புகிறேன்,3,செந்தில் மற்றும் ராஜேஷ் சாப்பிடுகிறார்கள் என்று நான் நம்புகிறேன்,2,
I hope that Hans can eat apples and that Peter can eat pears,செந்தில் மாங்காய்கள் சாப்பிட முடியும் மற்றும் ராஜேஷ் நெல்லிக்காய்கள் சாப்பிட முடியும் என்று நான் நம்புகிறேன்,செந்தில் மாங்காய்கள் மற்றும் ராஜேஷ் நெல்லிக்காய்கள் சாப்பிட முடியும் என்று நான் நம்புகிறேன்,3,செந்திலால் மாங்காய்களையும் மற்றும் ராஜேஷால் நெல்லிக்காய்கள் சாப்பிட முடியும் என்று நான் நம்புகிறேன்,1,
I hope Hans eats apples and Peter eats pears and you hope Michael eats apples and Robert eats pears,செந்தில் மாங்காய்கள் சாப்பிடுகிறார் மற்றும் ராஜேஷ் நெல்லிக்காய்கள் சாப்பிடுகிறார் என்று நான் நம்புகிறேன் மற்றும் சுந்தர் பப்பாளிகள் சாப்பிடுகிறார் மற்றும் அரவிந்த் பேரிச்சம்பழங்கள் சாப்பிடுகிறார் என்று நீ நம்புகிறாய்,செந்தில் மாங்காய்கள் மற்றும் ராஜேஷ் நெல்லிக்காய்கள் சாப்பிடுகிறார் என்று நான் நம்புகிறேன் மற்றும் சுந்தர் பப்பாளிகள் மற்றும் அரவிந்த் பேரிச்சம்பழங்கள் சாப்பிடுகிறார் என்று நீ நம்புகிறாய்,2,செந்தில் மாங்காய்களை ராஜேஷ் நெல்லிக்காய்களை சுந்தர் பப்பாளிகளை மற்றும் அரவிந்த் பேரீட்சைபழங்களை சாப்பிடுகிறார்கள் என்று நாம் நம்புகிறோம்,1,செந்தில் மாங்காய்கள் மற்றும் ராஜேஷ் நெல்லிக்காய்கள் சாப்பிடுகிறார்கள் என்று நான் நம்புகிறேன் மற்றும் சுந்தர் பப்பாளிகள் மற்றும் அரவிந்த் பேரிச்சம்பழங்கள் சாப்பிடுகிறார்கள் என்று நீ நம்புகிறாய்,1,
Jan repaired his bike and Peter cleaned his bike,செந்தில் அவரது மிதிவண்டியை சரிபார்த்தார் மற்றும் ராஜேஷ் அவரது மிதிவண்டியை சுத்தம்செய்தார்,செந்தில் அவரது மிதிவண்டியை சரிபார்த்தார் மற்றும் ராஜேஷ் அவருடையதை சுத்தம்செய்தார்,3,செந்தில் மற்றும் ராஜேஷ் அவர்களது மிதிவண்டியை சரிபார்த்து சுத்தம்செய்தார்கள்,1,
